,prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
0,549000$,,,,,Lac-Beauport,Québec Rive-Nord,"4, montée du Bois-Franc",4,2,,1,"1,050 pi² (97.55 m²)","14,650 pi² (1,361.03 m²)"
1,329000$,,,,,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,"2263, rue Vallerand",5,2,,1,988 pi² (91.79 m²),5 428 pi² (504.28 m²)
2,495000$,"2344,00$","232,00$","1500,00$",,Anjou,Montréal / l'Île,"103-6850, boulevard des Roseraies",3,2,,1,"1,250 pi² (116.13 m²)",662.84 pi² (61.58 m²)
4,749000$,"4032,90$","427,49$",,,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"3450, rue Ovila-Hamel",7,2,1,2,2 023 pi² (187.94 m²),4 843.76 pi² (450 m²)
5,340000$,"1259,36$","130,82$","1000,00$","994,00$",St-Alban,Portneuf,"139, Chemins des Rapides",3,1,,1,"1,411.15 pi² (131.1 m²)","18,023.09 pi² (1,674.4 m²)"
6,449000$,"4150,00$","269,00$","2660,00$","700,00$",Victoriaville,Centre-du-Québec,"66, rue des Sapins",4,1,1,2,"1,536 pi² (142.7 m²)","7,150 pi² (664.26 m²)"
7,475000$,"4138,04$","272,45$",,,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,"106-108, rue Gravel",4,2,,,,14 500 pi² (1 347.09 m²)
8,330000$,,,,,St-Apollinaire,Chaudière-Appalaches,"41, Du Geai-Bleu",5,1,2,2,1 408 pi² (130.81 m²),4 886 pi² (453.92 m²)
9,395000$,"2718,00$","248,00$","3180,00$",,Charlesbourg,Québec Rive-Nord,"7305, avenue Vincent-Beaumont",5,2,,1,"1,049.48 pi² (97.5 m²)","6,525.08 pi² (606.2 m²)"
10,689900$,,,,,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),"33, avenue des Tilleuls",4,2,,1,1 212 pi² (112.6 m²),7 815.68 pi² (726.1 m²)
11,549000$,"3493,00$","281,00$","1500,00$",,Sherbrooke (Jacques-Cartier),Estrie,"1565, rue Paton",4,1,1,2,"1,800 pi² (167.23 m²)","8,427.07 pi² (782.9 m²)"
12,529000$,"2621,00$","240,00$","140,00$","800,00$",St-Amable,Montérégie (Rive-Sud Montréal),"263, Des Cygnes",3,2,,1,"2,636 pi² (244.89 m²)","4,900 pi² (455.22 m²)"
