,titre_film,utilisateur_note,genres_liste,duree,id_film,nbre_utilisateur_note,date_sortie,date_ext
0,Black Panther,7.3,Action  Adventure  Sci-Fi,134,tt1825683,758827,(2018),"February 16, 2018"
1,Hereditary,7.3,Drama  Horror  Mystery,127,tt7784604,314486,(2018),"June 8, 2018"
2,Mile 22,6.1,Action  Thriller,94,tt4560436,80168,(2018),"August 17, 2018"
3,Avengers: Infinity War,8.4,Action  Adventure  Sci-Fi,149,tt4154756,1069513,(2018),"April 27, 2018"
4,Suspiria,6.7,Drama  Fantasy  Horror,152,tt1034415,78980,(I) (2018),"November 2, 2018"
5,The Favourite,7.5,Biography  Comedy  Drama,119,tt5083738,200678,(2018),"December 21, 2018"
6,Ready Player One,7.4,Action  Adventure  Sci-Fi,140,tt1677720,434909,(2018),"March 29, 2018"
7,Deadpool 2,7.7,Action  Adventure  Comedy,119,tt5463162,579136,(2018),"May 18, 2018"
8,Spider-Man: Into the Spider-Verse,8.4,Animation  Action  Adventure,117,tt4633694,522532,(2018),"December 14, 2018"
9,The VelociPastor,5.0,Action  Adventure  Comedy,75,tt1843303,6430,(2018),"August 13, 2019"
10,A Quiet Place,7.5,Drama  Horror  Sci-Fi,90,tt6644200,526499,(2018),"April 6, 2018"
11,Green Book,8.2,Biography  Comedy  Drama,130,tt6966692,487365,(2018),"November 21, 2018"
12,Aquaman,6.8,Action  Adventure  Fantasy,143,tt1477834,472204,(2018),"December 21, 2018"
13,Halloween,6.5,Crime  Horror  Thriller,106,tt1502407,155876,(I) (2018),"October 19, 2018"
14,Annihilation,6.8,Adventure  Drama  Horror,115,tt2798920,326340,(I) (2018),"February 23, 2018"
15,Bohemian Rhapsody,7.9,Biography  Drama  Music,134,tt1727824,536562,(2018),"November 2, 2018"
16,The Grinch,6.3,Animation  Comedy  Family,85,tt2709692,70763,(2018),"November 9, 2018"
17,Mandy,6.5,Action  Fantasy  Horror,121,tt6998518,79931,(I) (2018),"September 14, 2018"
18,Mission: Impossible - Fallout,7.7,Action  Adventure  Thriller,147,tt4912910,332440,(2018),"July 27, 2018"
19,Lizzie,5.9,Biography  Crime  Drama,105,tt5160938,8106,(2018),"September 14, 2018"
20,Red Sparrow,6.6,Action  Drama  Thriller,140,tt2873282,186902,(2018),"March 2, 2018"
21,Tomb Raider,6.3,Action  Adventure  Fantasy,119,tt1365519,215007,(2018),"March 16, 2018"
22,The Ballad of Buster Scruggs,7.3,Comedy  Drama  Musical,133,tt6412452,148162,(2018),"November 16, 2018"
23,Bad Times at the El Royale,7.1,Crime  Drama  Mystery,141,tt6628394,150895,(2018),"October 12, 2018"
24,Robin Hood,5.3,Action  Adventure  Drama,116,tt4532826,74381,(2018),"November 21, 2018"
25,The Farm,3.7,Horror,80,tt7959500,3266,(I) (2018),"December 19, 2019"
26,Venom,6.6,Action  Adventure  Sci-Fi,112,tt1270797,483221,(2018),"October 5, 2018"
27,The Predator,5.3,Action  Adventure  Sci-Fi,107,tt3829266,134364,(2018),"September 14, 2018"
28,Trautmann,7.2,Biography  Drama  Romance,120,tt4642192,5378,(2018),"March 14, 2019"
29,Mamma Mia! Here We Go Again,6.6,Comedy  Musical  Romance,114,tt6911608,95954,(2018),"July 20, 2018"
30,Crazy Rich Asians,6.9,Comedy  Drama  Romance,120,tt3104988,172984,(2018),"August 15, 2018"
31,A Star Is Born,7.6,Drama  Music  Romance,136,tt1517451,383184,(2018),"October 5, 2018"
32,Night Hunter,5.9,Action  Thriller,98,tt6533240,23398,(2018),"August 8, 2019"
33,Fantastic Beasts: The Crimes of Grindelwald,6.5,Adventure  Family  Fantasy,134,tt4123430,282852,(2018),"November 16, 2018"
34,Widows,6.8,Crime  Drama  Thriller,129,tt4218572,98275,(2018),"November 16, 2018"
35,Solo: A Star Wars Story,6.9,Action  Adventure  Sci-Fi,135,tt3778644,346205,(2018),"May 25, 2018"
36,The Nun,5.3,Horror  Mystery  Thriller,96,tt5814060,141864,(2018),"September 7, 2018"
37,Fifty Shades Freed,4.5,Drama  Romance  Thriller,105,tt4477536,66597,(2018),"February 9, 2018"
38,The House That Jack Built,6.8,Crime  Drama  Horror,152,tt4003440,77369,(2018),"October 17, 2018"
39,Ant-Man and the Wasp,7.0,Action  Adventure  Comedy,118,tt5095030,400243,(2018),"July 6, 2018"
40,A Simple Favor,6.8,Comedy  Crime  Mystery,117,tt7040874,150096,(2018),"September 14, 2018"
41,Climax,6.9,Drama  Horror  Music,97,tt8359848,69119,(I) (2018),"September 19, 2018"
42,Jurassic World: Fallen Kingdom,6.1,Action  Adventure  Sci-Fi,128,tt4881806,316512,(2018),"June 22, 2018"
43,Ocean's Eight,6.3,Action  Comedy  Crime,110,tt5164214,219709,(2018),"June 8, 2018"
44,Vice,7.2,Biography  Comedy  Drama,132,tt6266538,148003,(I) (2018),"December 25, 2018"
45,BlacKkKlansman,7.5,Biography  Comedy  Crime,135,tt7349662,263900,(2018),"August 10, 2018"
46,Capharnaüm,8.4,Drama,126,tt8267604,89548,(2018),"September 20, 2018"
47,The Meg,5.6,Action  Horror  Sci-Fi,113,tt4779682,172096,(2018),"August 10, 2018"
48,Creed II,7.1,Drama  Sport,130,tt6343314,126091,(2018),"November 21, 2018"
49,Beautiful Boy,7.3,Biography  Drama,120,tt1226837,77853,(I) (2018),"October 25, 2018"
50,Bird Box,6.6,Horror  Mystery  Sci-Fi,124,tt2737304,340966,(2018),"December 21, 2018"
51,Den of Thieves,7.0,Action  Crime  Drama,140,tt1259528,112717,(2018),"January 19, 2018"
52,12 Strong,6.5,Action  Drama  History,130,tt1413492,82537,(2018),"January 19, 2018"
53,The Commuter,6.3,Action  Mystery  Thriller,104,tt1590193,116467,(I) (2018),"January 12, 2018"
54,High Life,5.8,Adventure  Drama  Horror,113,tt4827558,36355,(2018),"November 7, 2018"
55,Hunter Killer,6.6,Action  Thriller,121,tt1846589,64015,(2018),"October 26, 2018"
56,Tumbbad,8.2,Drama  Fantasy  Horror,104,tt8239946,48650,(2018),"November 30, 2018"
57,Sicario: Day of the Soldado,7.0,Action  Crime  Drama,122,tt5052474,148658,(2018),"June 29, 2018"
58,The Equalizer 2,6.7,Action  Crime  Thriller,121,tt3766354,160468,(2018),"July 20, 2018"
59,Truth or Dare,5.2,Horror  Thriller,100,tt6772950,56929,(I) (2018),"April 13, 2018"
60,Beoning,7.5,Drama  Mystery  Thriller,148,tt7282468,65294,(2018),"May 17, 2018"
61,Mid90s,7.3,Comedy  Drama,85,tt5613484,65934,(2018),"October 26, 2018"
62,Incredibles 2,7.6,Animation  Action  Adventure,118,tt3606756,296591,(2018),"June 15, 2018"
63,Mortal Engines,6.1,Action  Adventure  Fantasy,128,tt1571234,127113,(2018),"December 14, 2018"
64,The Nightingale,7.3,Adventure  Drama  Thriller,136,tt4068576,31402,(I) (2018),"November 19, 2019"
65,Tag,6.5,Action  Comedy,100,tt2854926,134547,(I) (2018),"June 15, 2018"
66,Under the Silver Lake,6.5,Crime  Drama  Mystery,139,tt5691670,43296,(2018),"April 19, 2019"
67,Outlaw King,6.9,Action  Biography  Drama,121,tt6679794,72753,(2018),"November 9, 2018"
68,The Christmas Chronicles,7.0,Adventure  Comedy  Family,104,tt2990140,72629,(2018),"December 20, 2019"
69,The Kissing Booth,5.9,Comedy  Romance,105,tt3799232,84735,(2018),"May 11, 2018"
70,Sorry to Bother You,6.9,Comedy  Drama  Fantasy,112,tt5688932,80101,(2018),"July 13, 2018"
71,Manyeo,7.1,Action  Mystery  Sci-Fi,125,tt8574252,12596,(2018),"June 27, 2018"
72,The Mule,7.0,Crime  Drama  Thriller,116,tt7959026,137975,(2018),"December 14, 2018"
73,Upgrade,7.5,Action  Sci-Fi  Thriller,100,tt6499752,186374,(2018),"June 29, 2018"
74,Tully,6.9,Comedy  Drama  Mystery,95,tt5610554,59690,(2018),"May 4, 2018"
75,Game Night,6.9,Action  Adventure  Comedy,100,tt2704998,235390,(I) (2018),"February 23, 2018"
76,Isle of Dogs,7.8,Animation  Adventure  Comedy,101,tt5104604,169109,(2018),"March 30, 2018"
77,Mary Poppins Returns,6.7,Adventure  Comedy  Family,130,tt5028340,88610,(2018),"December 19, 2018"
78,Hotel Transylvania 3: Summer Vacation,6.3,Animation  Adventure  Comedy,97,tt5220122,74866,(2018),"July 13, 2018"
79,Rampage,6.1,Action  Adventure  Sci-Fi,107,tt2231461,168872,(2018),"April 13, 2018"
80,Mary Queen of Scots,6.3,Biography  Drama  History,124,tt2328900,51037,(2018),"December 21, 2018"
81,Set It Up,6.5,Comedy  Romance,105,tt5304992,54625,(2018),"June 15, 2018"
82,"Love, Simon",7.5,Comedy  Drama  Romance,110,tt5164432,115564,(2018),"March 16, 2018"
83,First Man,7.3,Biography  Drama  History,141,tt1213641,188738,(2018),"October 12, 2018"
84,If Beale Street Could Talk,7.1,Drama  Romance,119,tt7125860,49198,(2018),"December 25, 2018"
85,Life Itself,6.8,Drama  Romance,117,tt5989218,22240,(2018),"September 21, 2018"
86,Leave No Trace,7.1,Adventure  Drama,109,tt3892172,60228,(2018),"June 29, 2018"
87,Peppermint,6.4,Action  Thriller,101,tt6850820,65495,(2018),"September 7, 2018"
88,Pacific Rim: Uprising,5.6,Action  Adventure  Fantasy,111,tt2557478,118156,(2018),"March 23, 2018"
89,Ghostland,6.4,Drama  Horror  Mystery,91,tt6195094,33271,(2018),"March 14, 2018"
